# nonCO2 emissions by sector,,,,,,,,,,
sector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
PalmFruit,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Pork,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Poultry,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Rice,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
RootTuber,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
SheepGoat,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
SugarCrop,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Wheat,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Fruits,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Legumes,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
NutsSeeds,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Soybean,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Vegetables,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OilPalm,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Corn,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
FiberCrop,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
MiscCrop,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OilCrop,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OtherGrain,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
PalmFruit,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Rice,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
RootTuber,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
SugarCrop,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Wheat,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Fruits,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Legumes,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
NutsSeeds,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Soybean,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Vegetables,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OilPalm,NH3_AWB,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
agricultural energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
alumina,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
chemical energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
comm cooling,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
comm others,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
district heat,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,,,,,,1
electricity,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,,,,,,1
H2 central production,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,,,,,,1
industrial energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
industrial processes,NMVOC,Emissions|VOC,,,,,,,,1
iron and steel,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
mining energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
N fertilizer,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
process heat cement,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
refining,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,,,,,,1
resid cooling,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
resid others,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_freight,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_freight_road,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_pass,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_pass_road,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,NMVOC,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
urban processes,NMVOC,Emissions|VOC,,,,,,,,1
other industrial energy use,NMVOC,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Demand|Industry,,,,,,1
Beef,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Dairy,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Pork,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Poultry,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
SheepGoat,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Corn,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
FiberCrop,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
MiscCrop,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
OilCrop,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
OtherGrain,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
PalmFruit,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Rice,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
RootTuber,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
SugarCrop,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Wheat,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Fruits,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Legumes,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
NutsSeeds,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Soybean,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
Vegetables,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
OilPalm,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,,,,,,,1
agricultural energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
alumina,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
chemical energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
comm cooling,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
comm others,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
district heat,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
electricity,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
H2 central production,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
H2 forecourt production,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
industrial energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
industrial processes,NOx,Emissions|NOx,,,,,,,,1
iron and steel,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
mining energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
N fertilizer,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
process heat cement,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
refining,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
resid cooling,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
resid others,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_freight,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_freight_road,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_pass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_pass_road,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,NOx,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
urban processes,NOx,Emissions|NOx,,,,,,,,1
H2 wholesale dispensing,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,,,,,1
other industrial energy use,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand|Industry,,,,,,1
Beef,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Corn,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Dairy,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
FiberCrop,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
FodderGrass,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
FodderHerb,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
MiscCrop,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OilCrop,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OtherGrain,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
PalmFruit,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Pork,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Poultry,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Rice,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
RootTuber,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
SheepGoat,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
SugarCrop,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Wheat,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Fruits,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Legumes,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
NutsSeeds,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Soybean,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Vegetables,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OilPalm,NOx_AGR,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Corn,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
FiberCrop,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
MiscCrop,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OilCrop,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OtherGrain,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
PalmFruit,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Rice,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
RootTuber,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
SugarCrop,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Wheat,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Fruits,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Legumes,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
NutsSeeds,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Soybean,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
Vegetables,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
OilPalm,NOx_AWB,Emissions|NOx,Emissions|NOx|AFOLU,,,,,,,1
comm cooling,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
comm others,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
district heat,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,,,,,,1
electricity,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,,,,,,1
industrial energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
N fertilizer,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
process heat cement,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
resid cooling,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
resid others,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_freight,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_freight_road,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_pass,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_pass_road,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,OC,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
urban processes,OC,Emissions|OC,,,,,,,,1
agricultural energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
alumina,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
chemical energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
construction energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
iron and steel,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
mining energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
other industrial energy use,OC,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Demand|Industry,,,,,,1
Corn,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
FiberCrop,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
MiscCrop,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
OilCrop,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
OtherGrain,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
PalmFruit,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Rice,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
RootTuber,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
SugarCrop,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Wheat,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Fruits,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Legumes,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
NutsSeeds,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Soybean,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
Vegetables,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
OilPalm,OC_AWB,Emissions|OC,Emissions|OC|AFOLU,,,,,,,1
electricity_net_ownuse,SF6,Emissions|SF6,,,,,,,,1
industrial processes,SF6,Emissions|SF6,,,,,,,,1
agricultural energy use,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
alumina,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
chemical energy use,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
comm cooling,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
comm others,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
district heat,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
electricity,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
H2 central production,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
industrial energy use,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
industrial processes,SO2_1,Emissions|Sulfur,,,,,,,,1
iron and steel,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
mining energy use,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
N fertilizer,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
process heat cement,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
refining,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
resid heating,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
resid others,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_freight,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_freight_road,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_pass,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_pass_road,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,SO2_1,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,SO2_1,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
urban processes,SO2_1,Emissions|Sulfur,,,,,,,,1
other industrial energy use,SO2_1,Emissions|SO2,Emissions|SO2|Energy,Emissions|SO2|Energy|Demand|Industry,,,,,,1
Corn,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
FiberCrop,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
MiscCrop,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
OilCrop,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
OtherGrain,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
PalmFruit,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Rice,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
RootTuber,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
SugarCrop,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Wheat,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Fruits,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Legumes,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
NutsSeeds,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Soybean,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
Vegetables,SO2_1_AWB,Emissions|Sulfur,Emissions|Sulfur|AFOLU,,,,,,,1
agricultural energy use,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
alumina,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
chemical energy use,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
comm cooling,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
comm others,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
district heat,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
electricity,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
H2 central production,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,,,,,,1
industrial energy use,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
industrial processes,SO2_2,Emissions|Sulfur,,,,,,,,1
iron and steel,SO2_2,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Demand|Industry,,,,,,1
