"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Food","million t DM/yr",332.24148,353.9580072,366.4228606,377.3616519,387.0866127,396.5005737,405.6060349,414.5697397,422.898128,430.2779866
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Food","million t DM/yr",411.9512438,436.3822166056,450.895349997,464.884829029,476.68189467,487.537425726,497.484968454,506.835406349,515.190977379,522.338917201
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Other","million t DM/yr",51.9877043,36.3363416,29.5061549,29.3902973,29.2095941,28.9340976,28.5564976,28.1332688,27.7006941,27.2555408
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Other","million t DM/yr",213.280016,187.835931,183.040291,186.084384,188.948656,191.566104,193.964279,196.163389,198.075122,199.589999
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Other","million t DM/yr",265.2677203,224.1722726,212.5464459,215.4746813,218.1582501,220.5002016,222.5207766,224.2966578,225.7758161,226.8455398
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Livestock","million t DM/yr",8.7465317,13.1076119,17.1645546,17.1856044,17.1477537,17.0457102,16.8765287,16.673818,16.457973,16.2281782
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Livestock","million t DM/yr",37.6858628,60.9418378,85.39494,87.06551,88.60948,90.04472,91.38681,92.6664,93.8253,94.77552
"GCAM 7.1","Reference","World","Agricultural Demand|Livestock","million t DM/yr",46.4323945,74.0494497,102.5594946,104.2511144,105.7572337,107.0904302,108.2633387,109.340218,110.283273,111.0036982
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Livestock|Food","million t DM/yr",1.84219,1.67212,1.49107,1.57358,1.63179,1.67604,1.70746,1.72952,1.74345,1.75011
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Livestock|Food","million t DM/yr",12.2127,12.853,13.1261,13.5948,14.0078,14.4097,14.8049,15.2161,15.6203,15.9724
"GCAM 7.1","Reference","World","Agricultural Demand|Livestock|Food","million t DM/yr",14.05489,14.52512,14.61717,15.16838,15.63959,16.08574,16.51236,16.94562,17.36375,17.72251
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Livestock|Other","million t DM/yr",6.9043417,11.4354919,15.6734846,15.6120244,15.5159637,15.3696702,15.1690687,14.944298,14.714523,14.4780682
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Livestock|Other","million t DM/yr",25.4731628,48.0888378,72.26884,73.47071,74.60168,75.63502,76.58191,77.4503,78.205,78.80312
"GCAM 7.1","Reference","World","Agricultural Demand|Livestock|Other","million t DM/yr",32.3775045,59.5243297,87.9423246,89.0827344,90.1176437,91.0046902,91.7509787,92.394598,92.919523,93.2811882
"GCAM 7.1","Reference","EU-12","Agricultural Production","million t DM/yr",261.100875310439,269.429300007827,295.924825081362,314.769265185606,328.598012061418,340.760570149419,352.641660229703,365.718905244915,380.173780898525,392.565210168238
"GCAM 7.1","Reference","EU-15","Agricultural Production","million t DM/yr",1006.44709633724,1077.53479630048,1121.23536874784,1191.4805877856,1242.89189631569,1299.08484918447,1340.18849048944,1394.5952603443,1463.58228544982,1516.49748014357
"GCAM 7.1","Reference","World","Agricultural Production","million t DM/yr",1267.54797164768,1346.9640963083,1417.1601938292,1506.24985297121,1571.48990837711,1639.84541933389,1692.83015071914,1760.31416558921,1843.75606634835,1909.0626903118
