# Prices by sector
sector,var1,var2,var3,unit_conv
water_td_irr_Iceland_W,NoReported,,,1
water_td_irr_IdnE_C,NoReported,,,1
water_td_irr_IdnE_W,NoReported,,,1
water_td_irr_IndCstE_C,NoReported,,,1
water_td_irr_IndCstE_W,NoReported,,,1
water_td_irr_IndCstNE_C,NoReported,,,1
water_td_irr_IndCstNE_W,NoReported,,,1
water_td_irr_IndCstS_C,NoReported,,,1
water_td_irr_IndCstS_W,NoReported,,,1
water_td_irr_IndCstW_C,NoReported,,,1
water_td_irr_IndCstW_W,NoReported,,,1
water_td_irr_IndusR_C,NoReported,,,1
water_td_irr_IndusR_W,NoReported,,,1
water_td_irr_Iran_C,NoReported,,,1
water_td_irr_Iran_W,NoReported,,,1
water_td_irr_Ireland_C,NoReported,,,1
water_td_irr_Ireland_W,NoReported,,,1
water_td_irr_IrianJaya_C,NoReported,,,1
water_td_irr_IrianJaya_W,NoReported,,,1
water_td_irr_IrrawaddyR_C,NoReported,,,1
water_td_irr_IrrawaddyR_W,NoReported,,,1
water_td_irr_ItalyCstE_C,NoReported,,,1
water_td_irr_ItalyCstE_W,NoReported,,,1
water_td_irr_ItalyCstW_C,NoReported,,,1
water_td_irr_ItalyCstW_W,NoReported,,,1
water_td_irr_Japan_C,NoReported,,,1
water_td_irr_Japan_W,NoReported,,,1
water_td_irr_JavaTimor_C,NoReported,,,1
water_td_irr_JavaTimor_W,NoReported,,,1
water_td_irr_Kalimantan_C,NoReported,,,1
water_td_irr_Kalimantan_W,NoReported,,,1
water_td_irr_KaraSea_C,NoReported,,,1
water_td_irr_KaraSea_W,NoReported,,,1
water_td_irr_Korea_C,NoReported,,,1
water_td_irr_Korea_W,NoReported,,,1
water_td_irr_KrishnaR_C,NoReported,,,1
water_td_irr_KrishnaR_W,NoReported,,,1
water_td_irr_LaPuna_C,NoReported,,,1
water_td_irr_LaPuna_W,NoReported,,,1
water_td_irr_LBalkash_C,NoReported,,,1
water_td_irr_LBalkash_W,NoReported,,,1
water_td_irr_LChad_C,NoReported,,,1
water_td_irr_LChad_W,NoReported,,,1
water_td_irr_LenaR_C,NoReported,,,1
water_td_irr_LenaR_W,NoReported,,,1
water_td_irr_LimpopoR_C,NoReported,,,1
water_td_irr_LimpopoR_W,NoReported,,,1
water_td_irr_LoireR_C,NoReported,,,1
water_td_irr_LoireR_W,NoReported,,,1
water_td_irr_Mackenzie_C,NoReported,,,1
water_td_irr_Mackenzie_W,NoReported,,,1
water_td_irr_Madagascar_C,NoReported,,,1
water_td_irr_Madagascar_W,NoReported,,,1
water_td_irr_MagdalenaR_C,NoReported,,,1
water_td_irr_MagdalenaR_W,NoReported,,,1
water_td_irr_MahanadiR_C,NoReported,,,1
water_td_irr_MahanadiR_W,NoReported,,,1
water_td_irr_MahiR_C,NoReported,,,1
water_td_irr_MahiR_W,NoReported,,,1
water_td_irr_MalaysiaP_C,NoReported,,,1
water_td_irr_MalaysiaP_W,NoReported,,,1
water_td_irr_MarChiq_C,NoReported,,,1
water_td_irr_MarChiq_W,NoReported,,,1
water_td_irr_MeditE_C,NoReported,,,1
water_td_irr_MeditE_W,NoReported,,,1
water_td_irr_MeditIsl_C,NoReported,,,1
water_td_irr_MeditIsl_W,NoReported,,,1
water_td_irr_MeditS_C,NoReported,,,1
water_td_irr_MeditS_W,NoReported,,,1
water_td_irr_Mekong_C,NoReported,,,1
water_td_irr_Mekong_W,NoReported,,,1
water_td_irr_MexBaja_C,NoReported,,,1
water_td_irr_MexBaja_W,NoReported,,,1
water_td_irr_MexCstNW_C,NoReported,,,1
water_td_irr_MexCstNW_W,NoReported,,,1
water_td_irr_MexCstW_C,NoReported,,,1
water_td_irr_MexCstW_W,NoReported,,,1
water_td_irr_MexGulf_C,NoReported,,,1
water_td_irr_MexGulf_W,NoReported,,,1
water_td_irr_MexInt_C,NoReported,,,1
water_td_irr_MexInt_W,NoReported,,,1
water_td_irr_MissouriR_C,NoReported,,,1
water_td_irr_MissouriR_W,NoReported,,,1
water_td_irr_MissppRN_C,NoReported,,,1
water_td_irr_MissppRN_W,NoReported,,,1
water_td_irr_MissppRS_C,NoReported,,,1
water_td_irr_MissppRS_W,NoReported,,,1
water_td_irr_MurrayDrlg_C,NoReported,,,1
water_td_irr_MurrayDrlg_W,NoReported,,,1
water_td_irr_NarmadaR_C,NoReported,,,1
water_td_irr_NarmadaR_W,NoReported,,,1
water_td_irr_NarvaR_C,NoReported,,,1
water_td_irr_NarvaR_W,NoReported,,,1
water_td_irr_NegroR_C,NoReported,,,1
water_td_irr_NegroR_W,NoReported,,,1
water_td_irr_NelsonR_C,NoReported,,,1
water_td_irr_NelsonR_W,NoReported,,,1
water_td_irr_NemanR_C,NoReported,,,1
water_td_irr_NemanR_W,NoReported,,,1
water_td_irr_NevaR_C,NoReported,,,1
water_td_irr_NevaR_W,NoReported,,,1
water_td_irr_NewCaledn_C,NoReported,,,1
water_td_irr_NewCaledn_W,NoReported,,,1
water_td_irr_NewZealand_C,NoReported,,,1
water_td_irr_NewZealand_W,NoReported,,,1
water_td_irr_NigerR_C,NoReported,,,1
water_td_irr_NigerR_W,NoReported,,,1
water_td_irr_NileR_C,NoReported,,,1
water_td_irr_NileR_W,NoReported,,,1
water_td_irr_NWTerr_C,NoReported,,,1
water_td_irr_NWTerr_W,NoReported,,,1
water_td_irr_ObR_C,NoReported,,,1
water_td_irr_ObR_W,NoReported,,,1
water_td_irr_OderR_C,NoReported,,,1
water_td_irr_OderR_W,NoReported,,,1
water_td_irr_OhioR_C,NoReported,,,1
water_td_irr_OhioR_W,NoReported,,,1
water_td_irr_OrangeR_C,NoReported,,,1
water_td_irr_OrangeR_W,NoReported,,,1
water_td_irr_OrinocoR_C,NoReported,,,1
water_td_irr_OrinocoR_W,NoReported,,,1
water_td_irr_PacArctic_C,NoReported,,,1
water_td_irr_PacArctic_W,NoReported,,,1
water_td_irr_Pampas_C,NoReported,,,1
water_td_irr_Pampas_W,NoReported,,,1
water_td_irr_Papaloapan_C,NoReported,,,1
water_td_irr_Papaloapan_W,NoReported,,,1
water_td_irr_PapuaCst_C,NoReported,,,1
water_td_irr_PapuaCst_W,NoReported,,,1
water_td_irr_ParnaibaR_C,NoReported,,,1
water_td_irr_ParnaibaR_W,NoReported,,,1
water_td_irr_Patagonia_C,NoReported,,,1
water_td_irr_Patagonia_W,NoReported,,,1
water_td_irr_PennarR_C,NoReported,,,1
water_td_irr_PennarR_W,NoReported,,,1
water_td_irr_PersianGulf_C,NoReported,,,1
water_td_irr_PersianGulf_W,NoReported,,,1
water_td_irr_PeruCst_C,NoReported,,,1
water_td_irr_PeruCst_W,NoReported,,,1
water_td_irr_Phlppns_C,NoReported,,,1
water_td_irr_Phlppns_W,NoReported,,,1
water_td_irr_PolandCst_C,NoReported,,,1
water_td_irr_PolandCst_W,NoReported,,,1
water_td_irr_PoR_C,NoReported,,,1
water_td_irr_PoR_W,NoReported,,,1
water_td_irr_RedSeaE_C,NoReported,,,1
water_td_irr_RedSeaE_W,NoReported,,,1
water_td_irr_RhineR_C,NoReported,,,1
water_td_irr_RhineR_W,NoReported,,,1
water_td_irr_RhoneR_C,NoReported,,,1
water_td_irr_RhoneR_W,NoReported,,,1
water_td_irr_RiftValley_C,NoReported,,,1
water_td_irr_RiftValley_W,NoReported,,,1
water_td_irr_RioBalsas_C,NoReported,,,1
water_td_irr_RioBalsas_W,NoReported,,,1
water_td_irr_RioGrande_C,NoReported,,,1
water_td_irr_RioGrande_W,NoReported,,,1
water_td_irr_RioLaPlata_C,NoReported,,,1
water_td_irr_RioLaPlata_W,NoReported,,,1
water_td_irr_RioLerma_C,NoReported,,,1
water_td_irr_RioLerma_W,NoReported,,,1
water_td_irr_RioVerde_C,NoReported,,,1
water_td_irr_RioVerde_W,NoReported,,,1
water_td_irr_RusCstSE_C,NoReported,,,1
water_td_irr_RusCstSE_W,NoReported,,,1
water_td_irr_SabarmatiR_C,NoReported,,,1
water_td_irr_SabarmatiR_W,NoReported,,,1
water_td_irr_Salinas_C,NoReported,,,1
water_td_irr_Salinas_W,NoReported,,,1
water_td_irr_Salween_C,NoReported,,,1
water_td_irr_Salween_W,NoReported,,,1
water_td_irr_SAmerCstN_C,NoReported,,,1
water_td_irr_SAmerCstN_W,NoReported,,,1
water_td_irr_SAmerCstNE_C,NoReported,,,1
water_td_irr_SAmerCstNE_W,NoReported,,,1
water_td_irr_SaoFrancR_C,NoReported,,,1
water_td_irr_SaoFrancR_W,NoReported,,,1
water_td_irr_ScheldtR_C,NoReported,,,1
water_td_irr_ScheldtR_W,NoReported,,,1
water_td_irr_SChinaSea_C,NoReported,,,1
water_td_irr_SChinaSea_W,NoReported,,,1
water_td_irr_ScndnvN_C,NoReported,,,1
water_td_irr_ScndnvN_W,NoReported,,,1
water_td_irr_Scotland_C,NoReported,,,1
water_td_irr_Scotland_W,NoReported,,,1
water_td_irr_SeineR_C,NoReported,,,1
water_td_irr_SeineR_W,NoReported,,,1
water_td_irr_SenegalR_C,NoReported,,,1
water_td_irr_SenegalR_W,NoReported,,,1
water_td_irr_SepikR_C,NoReported,,,1
water_td_irr_SepikR_W,NoReported,,,1
water_td_irr_ShebJubR_C,NoReported,,,1
water_td_irr_ShebJubR_W,NoReported,,,1
water_td_irr_SiberiaN_C,NoReported,,,1
water_td_irr_SiberiaN_W,NoReported,,,1
water_td_irr_SiberiaW_C,NoReported,,,1
water_td_irr_SiberiaW_W,NoReported,,,1
water_td_irr_SinaiP_C,NoReported,,,1
water_td_irr_SinaiP_W,NoReported,,,1
water_td_irr_SittaungR_C,NoReported,,,1
water_td_irr_SittaungR_W,NoReported,,,1
water_td_irr_SolomonIsl_C,NoReported,,,1
water_td_irr_SolomonIsl_W,NoReported,,,1
water_td_irr_SpainCstSE_C,NoReported,,,1
water_td_irr_SpainCstSE_W,NoReported,,,1
water_td_irr_SriLanka_C,NoReported,,,1
water_td_irr_SriLanka_W,NoReported,,,1
water_td_irr_StLwrncR_C,NoReported,,,1
water_td_irr_StLwrncR_W,NoReported,,,1
water_td_irr_Sulawesi_C,NoReported,,,1
water_td_irr_Sulawesi_W,NoReported,,,1
water_td_irr_Sumatra_C,NoReported,,,1
water_td_irr_Sumatra_W,NoReported,,,1
water_td_irr_Sweden_C,NoReported,,,1
water_td_irr_Sweden_W,NoReported,,,1
water_td_irr_SyrDaryaR_C,NoReported,,,1
water_td_irr_SyrDaryaR_W,NoReported,,,1
water_td_irr_TagusR_C,NoReported,,,1
water_td_irr_TagusR_W,NoReported,,,1
water_td_irr_Taiwan_C,NoReported,,,1
water_td_irr_Taiwan_W,NoReported,,,1
water_td_irr_TaptiR_C,NoReported,,,1
water_td_irr_TaptiR_W,NoReported,,,1
water_td_irr_Tarim_C,NoReported,,,1
water_td_irr_Tarim_W,NoReported,,,1
water_td_irr_Tasmania_C,NoReported,,,1
water_td_irr_Tasmania_W,NoReported,,,1
water_td_irr_Tehuantpc_C,NoReported,,,1
water_td_irr_Tehuantpc_W,NoReported,,,1
water_td_irr_TennR_C,NoReported,,,1
water_td_irr_TennR_W,NoReported,,,1
water_td_irr_TexasCst_C,NoReported,,,1
water_td_irr_TexasCst_W,NoReported,,,1
water_td_irr_ThaiGulf_C,NoReported,,,1
water_td_irr_ThaiGulf_W,NoReported,,,1
water_td_irr_TiberR_C,NoReported,,,1
water_td_irr_TiberR_W,NoReported,,,1
water_td_irr_Tibet_C,NoReported,,,1
water_td_irr_Tibet_W,NoReported,,,1
water_td_irr_TigrEuphR_C,NoReported,,,1
water_td_irr_TigrEuphR_W,NoReported,,,1
water_td_irr_TocantinsR_C,NoReported,,,1
water_td_irr_TocantinsR_W,NoReported,,,1
water_td_irr_UralR_C,NoReported,,,1
water_td_irr_UralR_W,NoReported,,,1
water_td_irr_UsaColoRN_C,NoReported,,,1
water_td_irr_UsaColoRN_W,NoReported,,,1
water_td_irr_UsaColoRS_C,NoReported,,,1
water_td_irr_UsaColoRS_W,NoReported,,,1
water_td_irr_UsaCstE_C,NoReported,,,1
water_td_irr_UsaCstE_W,NoReported,,,1
water_td_irr_UsaCstNE_C,NoReported,,,1
water_td_irr_UsaCstNE_W,NoReported,,,1
water_td_irr_UsaCstSE_C,NoReported,,,1
water_td_irr_UsaCstSE_W,NoReported,,,1
water_td_irr_UsaPacNW_C,NoReported,,,1
water_td_irr_UsaPacNW_W,NoReported,,,1
water_td_irr_VietnamCst_C,NoReported,,,1
water_td_irr_VietnamCst_W,NoReported,,,1
water_td_irr_VolgaR_C,NoReported,,,1
water_td_irr_VolgaR_W,NoReported,,,1
water_td_irr_VoltaR_C,NoReported,,,1
water_td_irr_VoltaR_W,NoReported,,,1
water_td_irr_WislaR_C,NoReported,,,1
water_td_irr_WislaR_W,NoReported,,,1
water_td_irr_XunJiang_C,NoReported,,,1
water_td_irr_XunJiang_W,NoReported,,,1
water_td_irr_Yangtze_C,NoReported,,,1
water_td_irr_Yangtze_W,NoReported,,,1
water_td_irr_YeniseiR_C,NoReported,,,1
water_td_irr_YeniseiR_W,NoReported,,,1
water_td_irr_YucatanP_C,NoReported,,,1
water_td_irr_YucatanP_W,NoReported,,,1
water_td_irr_ZambeziR_C,NoReported,,,1
water_td_irr_ZambeziR_W,NoReported,,,1
water_td_irr_ZiyaHe_C,NoReported,,,1
water_td_irr_ZiyaHe_W,NoReported,,,1
water_td_muni_C,NoReported,,,1
water_td_muni_W,NoReported,,,1
water_td_pri_C,NoReported,,,1
water_td_pri_W,NoReported,,,1
Wheat,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Wheat [Index],1
wholesale gas,NoReported,,,1
WislaR_desalinated water,NoReported,,,1
woodpulp_energy,NoReported,,,1
woodpulp_processing,NoReported,,,1
XunJiang_desalinated water,NoReported,,,1
Yangtze_desalinated water,NoReported,,,1
YucatanP_desalinated water,NoReported,,,1
ZambeziR_desalinated water,NoReported,,,1
ZiyaHe_desalinated water,NoReported,,,1
