# map to pair en_demand and en_prices to compute the World en_prices weighted by en_demand,
en_demand_variable,en_price_variable
Secondary Energy|Electricity|Biomass,
Secondary Energy|Electricity|Biomass|w/o CCS,
Secondary Energy|Electricity|Coal,
Secondary Energy|Electricity|Coal|w/o CCS,
Secondary Energy|Electricity|Gas,
Secondary Energy|Electricity|Gas|CC,
Secondary Energy|Electricity|Gas|CC|w/o CCS,
Secondary Energy|Electricity|Gas|ST,
Secondary Energy|Electricity|Gas|ST|w/o CCS,
Secondary Energy|Electricity|Gas|w/o CCS,
Secondary Energy|Electricity|Geothermal,
Secondary Energy|Electricity|Hydro,
Secondary Energy|Electricity|Non-Biomass Renewables,
Secondary Energy|Electricity|Nuclear,
Secondary Energy|Electricity|Oil,
Secondary Energy|Electricity|Oil|w/o CCS,
Secondary Energy|Electricity|Solar,
Secondary Energy|Electricity|Solar|CSP,
Secondary Energy|Electricity|Solar|PV,
Secondary Energy|Electricity|Wind,
Secondary Energy|Electricity|Wind|Offshore,
Secondary Energy|Electricity|Wind|Onshore,
