# common-definitions.url: git@github.com:IAMconsortium/common-definitions
# common-definitions.commit_hash: 7e32405ade790677a6022ff498395bff00d9792d
# common-definitions.commit_timestamp: 2025-10-20 10:42:13
variable,description,unit,tier,Internal_variable,Status,comments.answers,navigate,engage,notes,lower_bound,note,range,region.aggregation,check.aggregate,skip.region.aggregation,sdg,weight,min,components,shape,agmip,ngfs5
Emissions|CO|Energy|Supply|Hydrogen,Emissions of carbon monoxide (CO) for production of hydrogen,Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Biomass,Emissions of carbon monoxide (CO) for production of hydrogen generated from biomass,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Coal,Emissions of carbon monoxide (CO) for production of hydrogen from coal,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Combustion,Emissions of carbon monoxide (CO) from fuel combustion during production of hydrogen,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Electricity,Emissions of carbon monoxide (CO) for production of hydrogen from electrolysis,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Fossil,"Emissions of carbon monoxide (CO) for production of hydrogen from fossil fuels including natural gas, oil and coal",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Fugitive,Fugitive emissions of carbon monoxide (CO) during production of hydrogen,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Gas,Emissions of carbon monoxide (CO) for production of hydrogen from fossil methane ('natural gas'),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Nuclear,Emissions of carbon monoxide (CO) for production of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Oil,Emissions of carbon monoxide (CO) for production of hydrogen from refined crude oil,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Other,Emissions of carbon monoxide (CO) for production of hydrogen from other sources,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Hydrogen|Solar,Emissions of carbon monoxide (CO) for production of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids,"Emissions of carbon monoxide (CO) for production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Biomass,Emissions of carbon monoxide (CO) for production of liquid fuels from biomass,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Coal,Emissions of carbon monoxide (CO) for production of liquid fuels from coal,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Combustion,"Emissions of carbon monoxide (CO) from fuel combustion during production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fossil fuels and biofuels",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Electricity,"Emissions of carbon monoxide (CO) for production of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product)",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Fossil,"Emissions of carbon monoxide (CO) for production of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Fugitive,"Fugitive emissions of carbon monoxide (CO) during production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fossil fuels and biofuels",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Gas,Emissions of carbon monoxide (CO) for production of liquid fuels from fossil methane ('natural gas'),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Hydrogen,Emissions of carbon monoxide (CO) for production of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Oil,Emissions of carbon monoxide (CO) for production of liquid fuels from refined crude oil,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Liquids|Other,Emissions of carbon monoxide (CO) for production of sources that do not fit any other category,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Other,Emissions of carbon monoxide (CO) for other categories of energy supply,Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Solids,"Emissions of carbon monoxide (CO) for production of solid energy carriers, including coal, briquettes, coke, and wood pellets",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Solids|Biomass,"Emissions of carbon monoxide (CO) for production of solid biomass (e.g., commercial charcoal, wood chips, wood pellets)",Mt CO/yr,3,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Solids|Coal,"Emissions of carbon monoxide (CO) for production of coal, lignite, and derived products (e.g., coke, briquettes)",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Solids|Combustion,Emissions of carbon monoxide (CO) from fuel combustion during production of solid fuels,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Energy|Supply|Solids|Fugitive,Fugitive emissions of carbon monoxide (CO) during production of solid fuels,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including negative emissions such as those from cement carbonation processes and other forms of capture and storage on industrial processes",Mt CO/yr,1,nonco2_clean,done,,,,"For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Cement,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the cement sector",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Chemicals,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the chemical sector",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Chemicals|Ammonia,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the ammonia sector",Mt CO/yr,3,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Chemicals|High-Value Chemicals,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the high-value-chemicals sector",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Chemicals|Methanol,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the methanol sector",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Chemicals|Other Sector,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the other use in the chemical sector",Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Iron and Steel,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the iron and steel sector",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Non-Ferrous Metals,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the non-ferrous metals sector",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Non-Metallic Minerals,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the non-metallic minerals sector excluding cement",Mt CO/yr,2,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Other Sector,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the other industries",Mt CO/yr,3,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Plastics,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the plastics sector",Mt CO/yr,2,,,,,,,,,,,,,,,,,,,
Emissions|CO|Industrial Processes|Pulp and Paper,"Emissions of carbon monoxide (CO) from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the pulp and paper sector",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Other,Emissions of carbon monoxide (CO) from other sources (IPCC 1996 category 7 - IPCC 2006 category 5B) including fossil fuel fires and any sources or sinks that cannot be accommodated in other categories,Mt CO/yr,2,nonco2_clean,done,,,,This will be treated as a flux from the fossil reservoir to the atmosphere in climate models.,,,,,,,,,,,,,
Emissions|CO|Other Capture and Removal,"Capture and removal of atmospheric carbon monoxide (CO) using other net-negative technologies that are not directly linked to an emissions source, including direct air carbon capture and storage (DACCS) or enhanced weathering (EW), as well as durable wood products in building elements or plastics, mineral products, ocean fertilization, ocean alkalinity enhancement (OAE), and direct ocean capture.",Mt CO/yr,2,nonco2_clean,done,,,,"This timeseries should be reported as negative values so that subcategories of emissions add up to net emissions 'Emissions|CO'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,,,,
Emissions|CO|Product Use,"Emissions of carbon monoxide (CO) from product use (IPCC category 2D, 2F and 2G)",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Product Use|Non-Energy Use,Emissions of carbon monoxide (CO) from non-energy products from fuels (IPCC category 2D1 and 2D2),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Product Use|ODS Substitutes,Emissions of carbon monoxide (CO) from use of substitutes of ozone depleting substances (ODS) (IPCC categories 2F),Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Product Use|Other,Emissions of carbon monoxide (CO) from other product use or manufacturing,Mt CO/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|CO|Product Use|Solvents,Emissions of carbon monoxide (CO) from solvents use (IPCC category 2D3),Mt CO/yr,3,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|CO|Waste,"Emissions of carbon monoxide (CO) from waste of fossil-based products through incineration or decomposition (IPCC 1996 category 6 - IPCC 2006 category 4), not including emissions from organic waste handling and decay",Mt CO/yr,2,nonco2_clean,done,,,,,,,,,,,,,,,,,
Emissions|F-Gases,"Emissions of F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) to the atmosphere",Mt CO2-equiv/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|F-Gases|AFOLU"", ""Emissions|F-Gases|Energy"", ""Emissions|F-Gases|Industrial Processes"", ""Emissions|F-Gases|Waste"", ""Emissions|F-Gases|Other Capture and Removal"", ""Emissions|F-Gases|Product Use"", ""Emissions|F-Gases|Other""]",,,
Emissions|HFC,"Emissions of hydrofluorocarbons (HFCs), provided as aggregate HFC134a-equivalents to the atmosphere",kt HFC134a-equiv/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|AFOLU"", ""Emissions|HFC|Energy"", ""Emissions|HFC|Industrial Processes"", ""Emissions|HFC|Waste"", ""Emissions|HFC|Other Capture and Removal"", ""Emissions|HFC|Product Use"", ""Emissions|HFC|Other""]",,,
Emissions|HFC|HFC125,Emissions of HFC125 to the atmosphere,kt HFC125/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC125|AFOLU"", ""Emissions|HFC|HFC125|Energy"", ""Emissions|HFC|HFC125|Industrial Processes"", ""Emissions|HFC|HFC125|Waste"", ""Emissions|HFC|HFC125|Other Capture and Removal"", ""Emissions|HFC|HFC125|Product Use"", ""Emissions|HFC|HFC125|Other""]",,,
Emissions|HFC|HFC134a,Emissions of HFC134a to the atmosphere,kt HFC134a/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC134a|AFOLU"", ""Emissions|HFC|HFC134a|Energy"", ""Emissions|HFC|HFC134a|Industrial Processes"", ""Emissions|HFC|HFC134a|Waste"", ""Emissions|HFC|HFC134a|Other Capture and Removal"", ""Emissions|HFC|HFC134a|Product Use"", ""Emissions|HFC|HFC134a|Other""]",,,
Emissions|HFC|HFC143a,Emissions of HFC143a to the atmosphere,kt HFC143a/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC143a|AFOLU"", ""Emissions|HFC|HFC143a|Energy"", ""Emissions|HFC|HFC143a|Industrial Processes"", ""Emissions|HFC|HFC143a|Waste"", ""Emissions|HFC|HFC143a|Other Capture and Removal"", ""Emissions|HFC|HFC143a|Product Use"", ""Emissions|HFC|HFC143a|Other""]",,,
Emissions|HFC|HFC227ea,Emissions of HFC227ea to the atmosphere,kt HFC227ea/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC227ea|AFOLU"", ""Emissions|HFC|HFC227ea|Energy"", ""Emissions|HFC|HFC227ea|Industrial Processes"", ""Emissions|HFC|HFC227ea|Waste"", ""Emissions|HFC|HFC227ea|Other Capture and Removal"", ""Emissions|HFC|HFC227ea|Product Use"", ""Emissions|HFC|HFC227ea|Other""]",,,
Emissions|HFC|HFC23,Emissions of HFC23 to the atmosphere,kt HFC23/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC23|AFOLU"", ""Emissions|HFC|HFC23|Energy"", ""Emissions|HFC|HFC23|Industrial Processes"", ""Emissions|HFC|HFC23|Waste"", ""Emissions|HFC|HFC23|Other Capture and Removal"", ""Emissions|HFC|HFC23|Product Use"", ""Emissions|HFC|HFC23|Other""]",,,
Emissions|HFC|HFC245fa,Emissions of HFC245fa to the atmosphere,kt HFC245fa/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC245fa|AFOLU"", ""Emissions|HFC|HFC245fa|Energy"", ""Emissions|HFC|HFC245fa|Industrial Processes"", ""Emissions|HFC|HFC245fa|Waste"", ""Emissions|HFC|HFC245fa|Other Capture and Removal"", ""Emissions|HFC|HFC245fa|Product Use"", ""Emissions|HFC|HFC245fa|Other""]",,,
Emissions|HFC|HFC32,Emissions of HFC32 to the atmosphere,kt HFC32/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC32|AFOLU"", ""Emissions|HFC|HFC32|Energy"", ""Emissions|HFC|HFC32|Industrial Processes"", ""Emissions|HFC|HFC32|Waste"", ""Emissions|HFC|HFC32|Other Capture and Removal"", ""Emissions|HFC|HFC32|Product Use"", ""Emissions|HFC|HFC32|Other""]",,,
Emissions|HFC|HFC43-10,Emissions of HFC343-10 to the atmosphere,kt HFC43-10/yr,1,nonco2_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|HFC|HFC43-10|AFOLU"", ""Emissions|HFC|HFC43-10|Energy"", ""Emissions|HFC|HFC43-10|Industrial Processes"", ""Emissions|HFC|HFC43-10|Waste"", ""Emissions|HFC|HFC43-10|Other Capture and Removal"", ""Emissions|HFC|HFC43-10|Product Use"", ""Emissions|HFC|HFC43-10|Other""]",,,
Emissions|Kyoto Gases,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases to the atmosphere",Mt CO2-equiv/yr,1,kyoto_gases_clean,done,,,,"Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|Kyoto Gases|AFOLU"", ""Emissions|Kyoto Gases|Energy"", ""Emissions|Kyoto Gases|Industrial Processes"", ""Emissions|Kyoto Gases|Waste"", ""Emissions|Kyoto Gases|Other Capture and Removal"", ""Emissions|Kyoto Gases|Product Use"", ""Emissions|Kyoto Gases|Other""]",,,
Emissions|Kyoto Gases|AFOLU,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands",Mt CO2-equiv/yr,1,kyoto_gases_clean,done,,,,"This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|Kyoto Gases|AFOLU|Agriculture"", ""Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning"", ""Emissions|Kyoto Gases|AFOLU|Land""]",,,
Emissions|Kyoto Gases|AFOLU [NGHGI],"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3) in line with the national greenhouse gas inventories (NGHGI)",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,"This variable is optional, for instance used for comparison with national greenhouse gas inventories, but is not used for driving climate model simulations, and also not a component of 'Emissions|*', for which the variable 'Emissions|*|AFOLU' with a model/scientific definition is used.",,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,Emissions from agricultural waste burning (IPCC 1996 category 4F - partially IPCC 2006 category 3C1),Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,Also sometimes known as 'biomass burning' or 'open agricultural burning',,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from the agriculture sector (IPCC 1996 category 4 - IPCC 2006 category 3A and 3C except 3C1)",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from livestock in the agriculture sector (IPCC 1996 category 4A and 4B - IPCC 2006 category 3A)",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock|Enteric Fermentation,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from enteric fermentation of livestock (IPCC 1996 category 4A - IPCC 2006 category 3A1) in the agriculture sector",Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock|Manure Management,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from processes involving manure (waste) management in Livestock in the agriculture sector (IPCC 1996 category 4B - IPCC 2006 category 3A2)",Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture|Managed Soils,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5)",Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Agriculture|Rice,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from rice cultivation (IPCC 1996 category 4C - IPCC 2006 category 3C7)",Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from forestry and other land use and land use change. Removals in this variable include agroforestry, re/afforestation, biochar, soil carbon management and forest management.",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Fires,Emissions from land fires and deforestation & degradation fires,Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Fires|Forest Burning,"Emissions from boreal forest fires, temperate forest fires, and tropical deforestation & degradation fires",Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Fires|Grassland Burning,"Emissions from savanna, grassland, and shrubland fires",Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Fires|Peat Burning,Emissions from peat fires,Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Harvested Wood Products,Emissions and removals from harvested wood products (HWP) (no clear IPCC 1996 category - IPCC 2006 category 3D1),Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Land Use and Land-Use Change,"Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).",Mt CO2-equiv/yr,3,,,,,,"This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.",,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Other,Emissions and removals from land that cannot be  accommodated in other categories (no clear IPCC 1996 category - IPCC 2006 category 3D2),Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|AFOLU|Land|Wetlands,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from managed wetlands (e.g., peatland), including emissions from drained wetlands used for agriculture, forestry or other uses (IPCC 2006 categories 3B1biii, 3B2biii and 3B3biii, 3B5biv, 3B6biv), and emissions from rewetted wetlands (IPCC 2006 category 3B4)",Mt CO2-equiv/yr,3,,,,,,"Includes reservoirs as a managed sub-division and natural rivers and lakes as unmanaged sub-divisions. Includes drained and rewetted wetlands, does not include natural emissions from intact wetlands.",,,,,,,,,,,,,
Emissions|Kyoto Gases|Energy,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from energy use, including fugitive emissions from fuels (IPCC category 1A (except manufacturing 1A2 and other unspecified 1A5), 1B), reporting the sum of sources and sinks, including negative emissions from carbon capture and removal using BECCS and other forms of CCS on energy supply and demand for instance for Oil, Gas, and Coal, as well as bio-oil storage and synthetic fuels",Mt CO2-equiv/yr,1,kyoto_gases_clean,done,,,,"For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|Kyoto Gases|Energy|Supply"", ""Emissions|Kyoto Gases|Energy|Demand""]",,,
Emissions|Kyoto Gases|Energy and Industrial Processes,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS)",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,"For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.",,,,,,,,,,"[""Emissions|Kyoto Gases|Energy"", ""Emissions|Kyoto Gases|Industrial Processes""]",,,
Emissions|Kyoto Gases|Energy|Demand,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and the transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei). This is the sum of sources and sinks, including negative emissions such as the demand-side use of bioenergy with CCS (BECCS)",Mt CO2-equiv/yr,1,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|Energy|Demand|AFOFI,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from fuel combustion in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)",Mt CO2-equiv/yr,2,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|Energy|Demand|AFOFI|Biomass,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from combustion of solid biomass (e.g., commercial charcoal, wood chips, wood pellets) including traditional bioenergy (e.g., fuelwood) in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)",Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|Energy|Demand|AFOFI|Biomass|Modern,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from combustion of modern biomass including 2nd generation bioenergy crops, crop and forestry residue and municipal solid waste bioenergy in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)",Mt CO2-equiv/yr,3,,,,,,,,,,,,,,,,,,,
Emissions|Kyoto Gases|Energy|Demand|AFOFI|Biomass|Traditional,"Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from combustion of traditional biomass including fuelwood in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)",Mt CO2-equiv/yr,3,kyoto_gases_clean,done,,,,,,,,,,,,,,,,,
